ticker,name,config,model,threshold_used,val_accuracy,val_precision,val_recall,val_f1,val_strategy_total_return,test_accuracy,test_precision,test_recall,test_f1,test_strategy_total_return,test_buy_hold_total_return,test_strategy_max_drawdown,test_strategy_sharpe,test_holding_ratio,test_entry_count
0050.TW,????50 ETF,5d_base,XGBoost,0.43000000000000005,0.5248041775456919,0.5766423357664233,0.7053571428571429,0.6345381526104418,0.8466053511264691,0.5352480417754569,0.5958904109589042,0.7435897435897436,0.6615969581749049,1.0092917924056959,0.5326565858848258,-0.3204392188470432,1.328512887492598,1.3759791122715406,2
0050.TW,????50 ETF,5d_base,PCA_LogReg,0.5400000000000001,0.587467362924282,0.5863874345549738,1.0,0.7392739273927392,0.8369646517316405,0.6135770234986945,0.6131578947368421,0.9957264957264957,0.758957654723127,0.29776095157109794,0.5326565858848258,-0.32651991330675767,0.8401133019978082,0.9738903394255874,3
0050.TW,????50 ETF,5d_vol,XGBoost,0.44000000000000006,0.49869451697127937,0.5601503759398496,0.6651785714285714,0.6081632653061224,1.0623861326194177,0.5613577023498695,0.6309523809523809,0.6794871794871795,0.654320987654321,1.0962624671867363,0.5326565858848258,-0.36590594387035935,1.3510926957040033,1.2010443864229765,5
0050.TW,????50 ETF,5d_vol,RandomForest,0.4,0.5169712793733682,0.5596330275229358,0.8169642857142857,0.6642468239564429,1.0278960130837271,0.5848563968668408,0.6182965299684543,0.8376068376068376,0.7114337568058077,1.4019661605311438,0.5326565858848258,-0.3509486002074279,1.6370931745704578,1.2349869451697129,1
0050.TW,????50 ETF,5d_vol,PCA_LogReg,0.5200000000000001,0.587467362924282,0.5863874345549738,1.0,0.7392739273927392,1.0203372113171745,0.6135770234986945,0.612565445026178,1.0,0.7597402597402597,1.146128421064657,0.5326565858848258,-0.297261753340769,1.5215853037869889,1.2428198433420365,1
0050.TW,????50 ETF,5d_vol,LogisticRegression_Ridge,0.4800000000000001,0.5613577023498695,0.5804597701149425,0.9017857142857143,0.7062937062937062,0.972305580738551,0.5718015665796344,0.6067073170731707,0.8504273504273504,0.708185053380783,0.5530022920907312,0.5326565858848258,-0.2846895961373245,1.1313985456412552,1.0574412532637076,4
006208.TW,???50 ETF,1d_base,LogisticRegression_Ridge,0.4,0.49868766404199477,0.5290697674418605,0.4527363184079602,0.4879356568364611,0.8073548851841827,0.5223097112860893,0.5597826086956522,0.5049019607843137,0.5309278350515464,0.5702228590140062,0.5438972962629482,-0.28400525004259414,1.2862440000173903,0.963254593175853,1
006208.TW,???50 ETF,1d_base,PCA_LogReg,0.4,0.5170603674540682,0.5480225988700564,0.48258706467661694,0.5132275132275133,0.8017863208818974,0.5564304461942258,0.5906735751295337,0.5588235294117647,0.5743073047858942,0.31779603224825137,0.5438972962629482,-0.3219821359152931,0.8346701334047713,0.958005249343832,1
006208.TW,???50 ETF,1d_base,RandomForest,0.4,0.5013123359580053,0.5300546448087432,0.48258706467661694,0.5052083333333334,0.43297523696060614,0.47506561679790027,0.5108695652173914,0.46078431372549017,0.4845360824742268,0.08437738805777739,0.5438972962629482,-0.35800483419629514,0.3354366722643519,0.8530183727034121,1
006208.TW,???50 ETF,1d_base,XGBoost,0.44000000000000006,0.5065616797900262,0.5371428571428571,0.46766169154228854,0.5,-0.04261767924852189,0.4776902887139108,0.5129533678756477,0.4852941176470588,0.4987405541561713,-0.3853748363627735,0.5438972962629482,-0.5292924458001933,-0.9803664853804289,0.6876640419947506,26
